date,nombre_tweets_par_jour,nombre_mentions_engie,nombre_tweets_critiques,auteurs_uniques,%_tweets_critiques,%_mentions_engie,semaine,nombre_tweets_par_semaine,mois,nombre_tweets_par_mois,heure,nombre_tweets_par_heure
2024-04-11,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-04-12,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-15,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-04-16,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-04-17,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-04-18,1.0,1,1,1.0,100.0,100.0,,,,,,
2024-04-21,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-22,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-23,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-04-24,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-25,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-26,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-30,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-02,3.0,3,0,2.0,0.0,100.0,,,,,,
2024-05-03,3.0,3,0,2.0,0.0,100.0,,,,,,
2024-05-06,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-05-08,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-11,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-05-13,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-05-14,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-15,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-16,4.0,4,0,3.0,0.0,100.0,,,,,,
2024-05-18,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-19,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-20,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-05-21,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-22,4.0,4,0,3.0,0.0,100.0,,,,,,
2024-05-23,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-05-24,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-25,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-26,3.0,3,1,2.0,33.33,100.0,,,,,,
2024-05-28,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-05-29,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-05-31,2.0,2,0,2.0,0.0,100.0,,,,,,
